"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"11.10.2025";"15:00:00";"Samstag";"11";"Spieltag 3";"KT 43 Köln";"TVE Vogelsang";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"11.10.2025";"16:00:00";"Samstag";"13";"Spieltag 3";"PTSV Aachen IV";"VTV Freier Grund";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"11.10.2025";"18:00:00";"Samstag";"14";"Spieltag 3";"VC Eintracht Geldern";"STV Hünxe";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"12.10.2025";"16:00:00";"Sonntag";"15";"Spieltag 3";"Dürener TV";"SV Wachtberg";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"12.10.2025";"17:00:00";"Sonntag";"12";"Spieltag 3";"TV Jahn Königshardt";"VV Humann Essen II";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"18.10.2025";"13:00:00";"Samstag";"19";"Spieltag 4";"TVE Vogelsang";"PTSV Aachen IV";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"18.10.2025";"16:00:00";"Samstag";"16";"Spieltag 4";"VV Humann Essen II";"Dürener TV";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"18.10.2025";"18:00:00";"Samstag";"18";"Spieltag 4";"STV Hünxe";"KT 43 Köln";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"18.10.2025";"19:00:00";"Samstag";"20";"Spieltag 4";"VTV Freier Grund";"TV Jahn Königshardt";"-";"VTV Freier Grund";"Sporthalle Rassberg (57290 Neunkirchen)";"Sporthalle Rassberg (57290 Neunkirchen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"19.10.2025";"15:00:00";"Sonntag";"17";"Spieltag 4";"SV Wachtberg";"VC Eintracht Geldern";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"25.10.2025";"18:00:00";"Samstag";"24";"Spieltag 5";"VC Eintracht Geldern";"VV Humann Essen II";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"26.10.2025";"15:00:00";"Sonntag";"21";"Spieltag 5";"KT 43 Köln";"PTSV Aachen IV";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"26.10.2025";"16:00:00";"Sonntag";"22";"Spieltag 5";"TV Jahn Königshardt";"TVE Vogelsang";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"26.10.2025";"16:00:00";"Sonntag";"25";"Spieltag 5";"Dürener TV";"VTV Freier Grund";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"26.10.2025";"17:00:00";"Sonntag";"23";"Spieltag 5";"STV Hünxe";"SV Wachtberg";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"01.11.2025";"19:00:00";"Samstag";"26";"Spieltag 6";"VV Humann Essen II";"STV Hünxe";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"02.11.2025";"11:30:00";"Sonntag";"29";"Spieltag 6";"TVE Vogelsang";"Dürener TV";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"02.11.2025";"12:00:00";"Sonntag";"28";"Spieltag 6";"PTSV Aachen IV";"TV Jahn Königshardt";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"02.11.2025";"15:00:00";"Sonntag";"27";"Spieltag 6";"SV Wachtberg";"KT 43 Köln";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"02.11.2025";"16:00:00";"Sonntag";"30";"Spieltag 6";"VTV Freier Grund";"VC Eintracht Geldern";"-";"VTV Freier Grund";"Bertha-von-Suttner-Gesamtschule (neu) (57072 Siegen)";"Bertha-von-Suttner-Gesamtschule (neu) (57072 Siegen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"15.11.2025";"18:00:00";"Samstag";"31";"Spieltag 7";"KT 43 Köln";"TV Jahn Königshardt";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"15.11.2025";"18:00:00";"Samstag";"33";"Spieltag 7";"STV Hünxe";"VTV Freier Grund";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"15.11.2025";"18:00:00";"Samstag";"34";"Spieltag 7";"VC Eintracht Geldern";"TVE Vogelsang";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"16.11.2025";"15:00:00";"Sonntag";"32";"Spieltag 7";"SV Wachtberg";"VV Humann Essen II";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"16.11.2025";"16:00:00";"Sonntag";"35";"Spieltag 7";"Dürener TV";"PTSV Aachen IV";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"22.11.2025";"14:30:00";"Samstag";"39";"Spieltag 8";"TVE Vogelsang";"STV Hünxe";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"22.11.2025";"15:00:00";"Samstag";"37";"Spieltag 8";"TV Jahn Königshardt";"Dürener TV";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"22.11.2025";"16:00:00";"Samstag";"38";"Spieltag 8";"PTSV Aachen IV";"VC Eintracht Geldern";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"22.11.2025";"18:00:00";"Samstag";"36";"Spieltag 8";"KT 43 Köln";"VV Humann Essen II";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"22.11.2025";"19:00:00";"Samstag";"40";"Spieltag 8";"VTV Freier Grund";"SV Wachtberg";"-";"VTV Freier Grund";"Sporthalle Rassberg (57290 Neunkirchen)";"Sporthalle Rassberg (57290 Neunkirchen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"06.12.2025";"16:00:00";"Samstag";"41";"Spieltag 9";"VV Humann Essen II";"VTV Freier Grund";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.12.2025";"15:00:00";"Sonntag";"42";"Spieltag 9";"SV Wachtberg";"TVE Vogelsang";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.12.2025";"15:00:00";"Sonntag";"44";"Spieltag 9";"VC Eintracht Geldern";"TV Jahn Königshardt";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.12.2025";"16:00:00";"Sonntag";"45";"Spieltag 9";"Dürener TV";"KT 43 Köln";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.12.2025";"17:00:00";"Sonntag";"43";"Spieltag 9";"STV Hünxe";"PTSV Aachen IV";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"20.12.2025";"16:00:00";"Samstag";"49";"Spieltag 10";"VV Humann Essen II";"TVE Vogelsang";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"20.12.2025";"17:00:00";"Samstag";"47";"Spieltag 10";"STV Hünxe";"TV Jahn Königshardt";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"20.12.2025";"18:00:00";"Samstag";"50";"Spieltag 10";"VC Eintracht Geldern";"Dürener TV";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"20.12.2025";"19:00:00";"Samstag";"46";"Spieltag 10";"VTV Freier Grund";"KT 43 Köln";"-";"VTV Freier Grund";"Bertha-von-Suttner-Gesamtschule (neu) (57072 Siegen)";"Bertha-von-Suttner-Gesamtschule (neu) (57072 Siegen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.12.2025";"15:00:00";"Sonntag";"48";"Spieltag 10";"SV Wachtberg";"PTSV Aachen IV";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"10.01.2026";"13:00:00";"Samstag";"55";"Spieltag 11";"TVE Vogelsang";"VTV Freier Grund";"-";"TVE Vogelsang";"Sportzentrum West, Halle B (58285 Gevelsberg)";"Sportzentrum West, Halle B (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"10.01.2026";"16:00:00";"Samstag";"51";"Spieltag 11";"PTSV Aachen IV";"VV Humann Essen II";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"10.01.2026";"16:00:00";"Samstag";"53";"Spieltag 11";"Dürener TV";"STV Hünxe";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"10.01.2026";"18:00:00";"Samstag";"54";"Spieltag 11";"KT 43 Köln";"VC Eintracht Geldern";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"10.01.2026";"18:30:00";"Samstag";"52";"Spieltag 11";"TV Jahn Königshardt";"SV Wachtberg";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"17.01.2026";"13:00:00";"Samstag";"56";"Spieltag 12";"TVE Vogelsang";"KT 43 Köln";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"17.01.2026";"16:00:00";"Samstag";"57";"Spieltag 12";"VV Humann Essen II";"TV Jahn Königshardt";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"17.01.2026";"18:00:00";"Samstag";"59";"Spieltag 12";"STV Hünxe";"VC Eintracht Geldern";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"17.01.2026";"19:00:00";"Samstag";"58";"Spieltag 12";"VTV Freier Grund";"PTSV Aachen IV";"-";"VTV Freier Grund";"Sporthalle Rassberg (57290 Neunkirchen)";"Sporthalle Rassberg (57290 Neunkirchen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"18.01.2026";"15:00:00";"Sonntag";"60";"Spieltag 12";"SV Wachtberg";"Dürener TV";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"24.01.2026";"16:00:00";"Samstag";"61";"Spieltag 13";"Dürener TV";"VV Humann Essen II";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"24.01.2026";"16:00:00";"Samstag";"64";"Spieltag 13";"PTSV Aachen IV";"TVE Vogelsang";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"24.01.2026";"16:00:00";"Samstag";"65";"Spieltag 13";"TV Jahn Königshardt";"VTV Freier Grund";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"24.01.2026";"18:00:00";"Samstag";"62";"Spieltag 13";"VC Eintracht Geldern";"SV Wachtberg";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"24.01.2026";"18:00:00";"Samstag";"63";"Spieltag 13";"KT 43 Köln";"STV Hünxe";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"31.01.2026";"13:00:00";"Samstag";"67";"Spieltag 14";"TVE Vogelsang";"TV Jahn Königshardt";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"31.01.2026";"19:00:00";"Samstag";"66";"Spieltag 14";"PTSV Aachen IV";"KT 43 Köln";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"31.01.2026";"19:00:00";"Samstag";"69";"Spieltag 14";"VV Humann Essen II";"VC Eintracht Geldern";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"31.01.2026";"19:00:00";"Samstag";"70";"Spieltag 14";"VTV Freier Grund";"Dürener TV";"-";"VTV Freier Grund";"Sporthalle Rassberg (57290 Neunkirchen)";"Sporthalle Rassberg (57290 Neunkirchen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"01.02.2026";"15:00:00";"Sonntag";"68";"Spieltag 14";"SV Wachtberg";"STV Hünxe";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"14.02.2026";"16:00:00";"Samstag";"73";"Spieltag 15";"TV Jahn Königshardt";"PTSV Aachen IV";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"14.02.2026";"16:00:00";"Samstag";"74";"Spieltag 15";"Dürener TV";"TVE Vogelsang";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"14.02.2026";"17:00:00";"Samstag";"71";"Spieltag 15";"STV Hünxe";"VV Humann Essen II";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"14.02.2026";"18:00:00";"Samstag";"72";"Spieltag 15";"KT 43 Köln";"SV Wachtberg";"-";"KT 43 Köln";"Gymnasium Kreuzgasse (50672 Köln)";"Gymnasium Kreuzgasse (50672 Köln)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"14.02.2026";"18:00:00";"Samstag";"75";"Spieltag 15";"VC Eintracht Geldern";"VTV Freier Grund";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.02.2026";"13:00:00";"Samstag";"79";"Spieltag 16";"TVE Vogelsang";"VC Eintracht Geldern";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.02.2026";"16:00:00";"Samstag";"76";"Spieltag 16";"TV Jahn Königshardt";"KT 43 Köln";"-";"TV Jahn Königshardt";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"Heinrich-Böll-Gesamtschule (46147 Oberhausen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.02.2026";"16:00:00";"Samstag";"80";"Spieltag 16";"PTSV Aachen IV";"Dürener TV";"-";"PTSV Aachen IV";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"4. Aachener Gesamtschule Sandkaulstr. (52062 Aachen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.02.2026";"19:00:00";"Samstag";"77";"Spieltag 16";"VV Humann Essen II";"SV Wachtberg";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.02.2026";"19:00:00";"Samstag";"78";"Spieltag 16";"VTV Freier Grund";"STV Hünxe";"-";"VTV Freier Grund";"Sporthalle Rassberg (57290 Neunkirchen)";"Sporthalle Rassberg (57290 Neunkirchen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.03.2026";"18:00:00";"Samstag";"83";"Spieltag 17";"VC Eintracht Geldern";"PTSV Aachen IV";"-";"VC Eintracht Geldern";"Sporthalle Am Bollwerk (47608 Geldern)";"Sporthalle Am Bollwerk (47608 Geldern)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.03.2026";"18:00:00";"Samstag";"84";"Spieltag 17";"STV Hünxe";"TVE Vogelsang";"-";"STV Hünxe";"Sporthalle Hünxe (46569 Hünxe)";"Sporthalle Hünxe (46569 Hünxe)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"07.03.2026";"19:00:00";"Samstag";"81";"Spieltag 17";"VV Humann Essen II";"KT 43 Köln";"-";"VV Humann Essen II";"Sporthalle Hubertusburg (45136 Essen)";"Sporthalle Hubertusburg (45136 Essen)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"08.03.2026";"15:00:00";"Sonntag";"85";"Spieltag 17";"SV Wachtberg";"VTV Freier Grund";"-";"SV Wachtberg";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"Dreifachturnhalle Berkum (53343 Wachtberg-Berkum)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"08.03.2026";"16:00:00";"Sonntag";"82";"Spieltag 17";"Dürener TV";"TV Jahn Königshardt";"-";"Dürener TV";"Burgau Gymnasium Düren (52349 Düren)";"Burgau Gymnasium Düren (52349 Düren)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
"21.03.2026";"13:00:00";"Samstag";"87";"Spieltag 18";"TVE Vogelsang";"SV Wachtberg";"-";"TVE Vogelsang";"Sportzentrum West, Halle A (58285 Gevelsberg)";"Sportzentrum West, Halle A (58285 Gevelsberg)";"-";"2025/26";"Oberliga 1 Frauen";"weiblich";
